GW_CSA_AAA,Усиленный патруль безопасности
TEXT_UNIT_FLUFF_GW_CSA_AAB,После национализации Торговой федерации многочисленные боевые дроиды, которые компания производила еще до Войн клонов, изначально собирались утилизировать новую Империю. Управление корпоративного сектора не особенно заботилось о символике того неспокойного времени и увидело возможность приобрести оборудование очень дешево, сэкономив время и ресурсы Империи в обмен на дешевые, но эффективные силы безопасности.
TEXT_UNIT_FLUFF_GW_CSA_AAC,CSA часто нуждалась в тяжелых подразделениях подавления, чтобы контролировать нестабильные новые приобретения и усмирять недавно полученную рабочую силу. С этой целью Подразделение безопасности задействовало отряды тяжелой пехоты, чтобы уничтожить любые вражеские спидеры, а иногда и танки, в то время как быстрые бластеры на шагоходах быстро отговаривали любую толпу или ополчение от попыток помешать их прибыли.
TEXT_UNIT_FLUFF_GW_CSA_AAD,GX12 был разработан исключительно для быстрого и безопасного перемещения пехоты в бой до такой степени, что среди гражданского населения он стал известен как переносной бункер. Его гранаты и лазеры позволили ему эффективно бороться с любой вражеской пехотой и обеспечивать прикрытие любой пехоты, садящейся в фургон или высаживающейся из него. Солдаты Эспо в более тяжелой броне и лучшем вооружении составляют костяк способных штурмовиков для регулярных Эспо в силах быстрого реагирования. Прикрепленные медики сводят потери Эспо к минимуму, экономя деньги на переподготовке пополнений.
TEXT_UNIT_FLUFF_GW_CSA_AAE,X10 Groundcruisers, как правило, были достаточно маленькими, чтобы поместиться на большинстве дорог и маршрутов различного уровня развития, в то время как их сопровождали дроиды-эсминцы. Эти подразделения, которые обычно использовались для патрулирования умиротворенных городов или обеспечения комендантского часа, также были достаточно быстры, чтобы достаточно быстро реагировать на более крупные вторжения, чтобы заставить замолчать любых диссидентов до того, как могли возникнуть серьезные беспорядки.
TEXT_UNIT_FLUFF_GW_CSA_AAF,Корпоративный сектор в его нынешнем виде был сформирован после Войн клонов и различными способами приобрел множество боевых дроидов той эпохи. К этому CSA добавило бы свои собственные конструкции дроидов, такие как оборонительный дроид класса 1. Эти дроиды могут использоваться CSA в бою для предотвращения гибели своих собственных сил, одновременно выступая в качестве мощной многоцелевой угрозы всем целям на земле. Старые B1 составят основную массу вспомогательных формирований, а Дройдеки обеспечат дополнительную мобильность и противопехотную огневую мощь. Эти боевые дроиды успешно помогли КША в экспансии против менее развитых обществ вблизи космоса КША.
TEXT_UNIT_FLUFF_GW_CSA_AAG,Иногда жесткий контроль CSA над местным населением мог ослабевать. В таких ситуациях потребуется значительная сила, чтобы вернуть все под контроль. С этой целью JX40 могли привлечь несколько пехотных отделений и переправить пленных, в то время как пешеходы помогали усмирять опасных агитаторов. Такие подразделения также доказали свою высокую эффективность в операциях по ликвидации, осуществляя враждебное поглощение новых активов по усмотрению директоров зон CSA.
TEXT_UNIT_FLUFF_GW_CSA_AAH,GX12 Hovervans перевозят отряды Эспоса в бой, а затем поддерживают их в бою, когда это необходимо CSA. Когда ожидается, что у противника возникнет угроза транспортных средств, Эспосу могут помочь прикрепленные к нему защитные дроиды 1-го класса с их противотранспортными лазерами. JX40 можно использовать для огневой поддержки благодаря многочисленным гранатометам; наряду с предоставлением Эспо возможности вернуть с собой пленников.
TEXT_UNIT_FLUFF_GW_CSA_AAI,Некоторые операции требовали дополнительной поддержки с воздуха. Аэроскиммеры SX20 могут помочь подавить бунтующую толпу с помощью обстрелов или обнаружить сопротивление противника с воздуха. Сопровождая их, наземные крейсеры X10 могли преследовать обнаруженных врагов или охранять территорию от любых дополнительных бунтовщиков, как только воздушные скиммеры двинутся дальше.
TEXT_UNIT_FLUFF_GW_CSA_AAJ,В ситуациях, когда требуется огневая мощь, аэроперехватчики K22 оказываются высокоэффективными противотранспортными воздушными спидерами, а SX20 может подавлять легкие цели противника. Эти подразделения обычно использовались против более хорошо развитых приобретений или сил противника.
TEXT_UNIT_FLUFF_GW_CSA_AAK,И Hailfire, и Persuader Tank — разработки, унаследованные CSA от побежденных корпораций, распущенных с окончанием Войн клонов. Однако есть тревожная параллель: CSA часто использовало их так же, как и те компании, которые производили автомобили для подавления любой формы протеста против политики CSA, с сокрушительной скоростью и насилием. Иногда их также можно было использовать в крупном наземном сражении, когда территории КША угрожала внешняя сила.
TEXT_UNIT_FLUFF_GW_CSA_AAL,«Шрейкбрейкер» был одним из самых грозных наземных транспортных средств, имевшихся в обычном арсенале CSA, и был оснащен лазерами и гранатами для борьбы с транспортными средствами и пехотой. Он также имел возможность перевозить взвод пехоты внутри каждой машины. Таким образом, их развертывание CSA часто сигнализировало, что они серьезно настроены сохранить свое присутствие на планете, независимо от цены сопутствующего ущерба.
TEXT_UNIT_FLUFF_GW_CSA_AAM,Некоторые беспорядки или оборонительные позиции просто слишком опасны, чтобы их можно было использовать непосредственно. Когда возникают такие ситуации, CSA развертывает артиллерийские подразделения, унаследованные от бывшего Корпоративного Альянса. Это артиллерийское орудие могло бы обеспечить интенсивный обстрел опасных беспорядков или хорошо защищенных позиций в ожидании будущего развертывания Эспо. Для защиты уязвимого и ценного объекта в качестве охраны и защиты выделен отряд дроидов B1.
TEXT_UNIT_FLUFF_GW_CSA_AAN,Против значительных сил противника или очень высокоразвитых планет CSA требовалось, чтобы бронированные танки и быстрые тяжелые спидеры прорвали первоначальную оборону противника, прежде чем подразделения Эспо могли быть безопасно развернуты для очистки и более тщательного захвата активов. С этой целью дроиды-танки «Убеждение» при поддержке тяжелых транспортных средств на воздушной подушке «Шрейкбрейкер» могли прорвать большинство линий противника, особенно при поддержке с воздуха аэроспидеров K22 Aero-Interceptor.
TEXT_UNIT_FLUFF_GW_CSA_AAO,Отдел ресурсов корпоративного сектора часто решает приобрести новый планетарный актив, будь то рабочая сила, существующая инфраструктура или права на добычу полезных ископаемых. Когда такой выбор сделан, Подразделение безопасности развертывает эти силы для создания плацдарма и передового командного пункта для начала полномасштабного вторжения. Штрейкбрехеры и Эспо могли установить контроль над территорией, а B1 могли начать патрулирование в ожидании прибытия новых сил. GX12 могут помочь быстро переброситься на поле боя или обеспечить огневую поддержку для усмирения любого местного сопротивления, профессионального или иного.
TEXT_UNIT_FLUFF_GW_CSA_AAP,Формирование CSA военного времени, которое использовало взвод солдат Эспо в качестве линии фронта. Взвод тяжелых эспосов часто оставался в резерве, чтобы действовать в качестве штурмовой группы при обнаружении слабости в линии противника, или в качестве формирования быстрого реагирования на слабость в своих собственных линиях. Вдоль линии будут рассредоточены защитные дроиды 1-го класса, чтобы усилить огневую мощь регулярных солдат Эспо.
TEXT_UNIT_FLUFF_GW_EA_AAA,Стандартный взвод солдат Имперской Армии в составе Власти Эриаду, состоящий из двух синергетических элементов. Некоторые отделения оснащены многозарядными пулеметами и скорострельными карабинами для подавления любой пехоты, в то время как другие отделения используют эту базу огня, чтобы добить противника из гранатометов. Эти взводы армейских солдат встречаются по всей территории владений Эриаду в качестве гарнизонных сил или служат в качестве линейных солдат в армии.
TEXT_UNIT_FLUFF_GW_EA_AAB,Небольшой отряд солдат Имперской Армии, вооруженный винтовками и тяжелым вооружением. Эти небольшие отряды в значительной степени полагаются на свою огневую мощь, чтобы компенсировать нехватку численности, и обычно используются для пополнения других формирований дополнительной пехотой или для размещения гарнизонов в секторах с низким приоритетом.
TEXT_UNIT_FLUFF_GW_EA_AAC,Из-за военных предпочтений самопровозглашенного верховного генерала Делвардуса силы Эриаду могут быть медленными и неуклюжими. Поэтому для командиров крайне важно точно знать, где находится их противник, прежде чем они смогут развернуть свои бронетанковые колонны. По этой причине для тщательной разведки назначенных территорий были отправлены небольшие разведывательные группы с использованием 64-Y Sled Speeders. Армейскую гвардию отправляют для создания и защиты передовых базовых лагерей разведчиков.
TEXT_UNIT_FLUFF_GW_EA_AAD,Хотя силы армейских специальных миссий обычно отправляются на независимые миссии вдали от регулярных сил, иногда по обстоятельствам требуется помощь регулярным силам в бою. В небольших количествах эти элитные солдаты и ветераны формировали небольшие гибкие формирования, которые присоединялись к более крупному формированию, чтобы укрепить свой боевой дух и использовать свой опыт для решения проблем, которые блокировали бы регулярных войск.
TEXT_UNIT_FLUFF_GW_EA_AAE,Армейская гвардия, которой поручено защищать базы армии правительства Эриаду, также может быть развернута в полевых условиях для защиты важных объектов, таких как командные пункты или травматологические пункты. В последнем случае армейская гвардия также может отправлять вперед отряды с медицинскими бригадами, чтобы обеспечить безопасность медиков, пока они работают над стабилизацией ситуации и оказанием помощи пострадавшим.
TEXT_UNIT_FLUFF_GW_EA_AAF,Вдохновленные игрой Верховного полковника Йохана, имперские репульсорные танки 1-L составляют основу арсенала легкой бронетехники Власти Эриаду и часто используются в качестве прикрытия для других более тяжелых формирований. Эти быстрые легкие машины смертоносны для пехоты и некоторых легких транспортных средств, но при этом достаточно мобильны, чтобы уклоняться от большинства объектов, представляющих для них серьезную угрозу. В сочетании с этим есть военные ходунки, которые предпочитают такие командиры, как генерал Вирс; Все наземные ракетные платформы движутся вслед за 1-L IRT, готовые насытить любую серьезную угрозу танкам-репульсорам или большим скоплениям войск смертоносным роем ударных ракет.
TEXT_UNIT_FLUFF_GW_EA_AAG,Странно выглядящий AT-MP представлял собой мобильную ракетную платформу, широко использовавшуюся в шагоходах на территориях, находящихся под контролем властей Эриаду. Обычно им приходится поражать большие скопления пехоты и легкой техники шквалом ударных ракет, но их огневая мощь особенно шокирует пехоту Новой Республики. Отрядам гвардии Имперской Армии иногда приказывали идти вперед в качестве последующей атаки под шквалом AT-MP, чтобы уничтожить выживших с помощью своего тяжелого оружия.
TEXT_UNIT_FLUFF_GW_EA_AAH,64-Y Sled Speeders — это чрезвычайно быстрый спидер-байк, который благодаря своей скорости способен преодолевать огромные территории. Однако они чрезвычайно уязвимы в бою из-за относительной недостаточности огневой мощи и защиты; по этой причине командиры Власти Эриаду иногда поручают танкам 1-L Imperial Repulsor сотрудничать со спидерами, чтобы обеспечить некоторую огневую мощь и защиту всякий раз, когда спидеры оказываются в опасности.
TEXT_UNIT_FLUFF_GW_EA_AAI,Имперское бюро безопасности имеет собственные военные формирования через подразделение правоохранительных органов, которые можно использовать для устранения любой угрозы государству. Хотя они часто действуют автономно, они могут сотрудничать или даже призывать другие имперские силы для помощи в выполнении своих миссий. Взятие под контроль небольших групп элитных сил, таких как коммандос Имперской армии, для использования в качестве штурмовых отрядов выгодно для ИББ, поскольку позволяет им достигать своих целей, сводя к минимуму потери ИББ. Снайперские команды разведчиков ISB обеспечивают прикрытие команд армейских коммандос с безопасного расстояния, а также гарантируют, что коммандос остаются верными миссии.
TEXT_UNIT_FLUFF_GW_EA_AAJ,Имперское бюро безопасности имеет собственные военные формирования через подразделение правоохранительных органов, которые можно использовать для устранения любой угрозы государству. Хотя они часто действуют автономно, они могут сотрудничать или даже призывать другие имперские силы для помощи в выполнении своих миссий. Иногда элитные силы недоступны для управления оперативниками СББ, и поэтому они вынуждены довольствоваться регулярными линейными войсками, чтобы провести массированную необходимую атаку. Штурмовики ISB могли подражать обычным штурмовикам и возглавлять атаку армейских солдат, одновременно наблюдая за любыми проявлениями нелояльности в рядах.
TEXT_UNIT_FLUFF_GW_EA_AAK,И Имперское бюро безопасности, и Армейские силы специальных миссий занимаются борьбой с деятельностью повстанцев внутри Империи и поэтому иногда могут сотрудничать, чтобы поразить важную цель, с разной степенью теплоты с обеих сторон. В то время как силы армейских специальных миссий составляют основную часть штурмовых сил, штурмовые группы диверсантов ISB могут быть прикреплены к армейским специальным миссиям, чтобы усилить их возможности и обеспечить соблюдение интересов Бюро безопасности.
TEXT_UNIT_FLUFF_GW_EA_AAL,Пара 1-литровых имперских репульсорных танков — сильный противник для легкой техники и пехоты, но их вооружение оказалось недостаточным для борьбы со средней и тяжелой техникой. Вдохновляясь примером верховного полковника Зела Йоханса, командующие армией решили, что предпочтительнее присоединить 1-M Imperial Repulsortank к отделениям 1-L IRT, чтобы обеспечить огневую мощь, необходимую для грамотной борьбы с вражеской техникой, а не заставлять более легкие танки отступать всякий раз, когда они встречаются с противником. Однако это имело обратную сторону: рассредоточение 1-M по линиям обороны, что могло помешать их концентрации против сильной атаки с использованием транспортных средств.
TEXT_UNIT_FLUFF_GW_EA_AAM,«Ланцет» был разработан Империей для обеспечения воздушной мобильной артиллерии, которая, таким образом, могла реагировать на развивающуюся ситуацию гораздо быстрее, чем наземная техника, а также могла быть развернута в более широком диапазоне условий. 64-Y Sled Speeder используются разведчиками, обученными координации воздух-земля, с целью обнаружения целей и нанесения ударов из «Ланцетов». Эти санные спидеры обеспечивают скорость, необходимую разведчикам для удержания позиции вместе с «Ланцетами» в быстро развивающейся боевой ситуации.
TEXT_UNIT_FLUFF_GW_EA_AAN,АТ-АА — стандартная машина, используемая Империей и ее отколовшимися военачальниками для борьбы с летательными аппаратами или звездными истребителями, действующими в атмосфере. Однако он относительно медленный и уязвимый для любых наземных угроз, поэтому его необходимо охранять. По совету генерала Вирса после того, как он оказался связанным с силами Эриаду, армии Эриаду используют для этой задачи гвардию Имперской армии из-за их повышенной огневой мощи. Это позволяет им дольше выдерживать любую атаку, что увеличивает вероятность спасения ценных противовоздушных шагоходов и освобождает регулярных солдат, чтобы они могли оставаться на передовой.
TEXT_UNIT_FLUFF_GW_EA_AAO,Под давлением генерала Октавиона Сорина, пренебрегающего предпочтениями генерала Вира, рота тяжелых репульсорных танков представляет собой крупнейшую концентрацию мобильной бронетехники, собранную властями Эриаду. 1-H IRT являются центральной точкой формирования, а их большой размер позволяет им поглощать огонь противника гораздо лучше, чем их меньшие репульсорные танки. Они также обладают огневой мощью, позволяющей справиться с любой вражеской техникой, с которой сталкивается строй. 1-L IRT наблюдают за формированием и справляются с любыми скоплениями пехоты на своем пути, а 1-M IRT действуют как гибкий резерв для реагирования на любую развивающуюся ситуацию.
TEXT_UNIT_FLUFF_GW_EA_AAP,Большое летающее крыло, наполненное оружием, которое называется «Слепой слепой», способно доминировать в небе над наземным полем боя, а одно из них способно обрекать на гибель как технику, так и пехоту. Большие концентрации аэроспидеров Flashblind способны опустошать вражеские формирования перед наземной атакой, позволяя наземным войскам легко атаковать разбитого врага. К воздушному крылу также могут быть прикреплены флайеры Lancet Aerial Artillery, чтобы обеспечить возможность борьбы с вражескими зенитными средствами на безопасном расстоянии вместо того, чтобы рисковать светоослепляющими устройствами в прямой дуэли с наземной техникой.
TEXT_UNIT_FLUFF_GW_EA_AAQ,Офицеры властей Эриаду, такие как Октавион Сорин, использовали в качестве артиллерийской платформы летательный аппарат, который использует обычную имперскую артиллерийскую пушку для доставки огневой мощи на большие дистанции. Учитывая, что его дальность действия намного превышает возможности собственных датчиков платформы, командиры властей Эриаду обычно сотрудничают с каждым средним мобильным артиллерийским ховертанком с несколькими 64-Y Sled Speeder. Они действуют как разведчики на большие расстояния, позволяя артиллерийскому огню вызвать по цели, как только противник выйдет на дистанцию ​​действия.
TEXT_UNIT_FLUFF_GW_EA_AAR,Знаменитый Имперский AT-AT — главный штурмовой шагоход Власти Эриаду и фаворит Верховного генерала Делвардуса с тех пор, как он приобрел их запас. Эти массивные четвероногие шагоходы представляют собой неукротимую силу в лобовой атаке, но они чрезвычайно уязвимы для фланговых атак или приближения пехоты. По этой причине командиры обычно назначают машины сопровождения, такие как AT-MP, для защиты от этих угроз от AT-AT. История также доказала способность аэроспидеров представлять угрозу для неуклюжих зверей, и поэтому шагоходы AT-AA могут быть включены в группу сопровождения AT-AT, чтобы защищать небо от угроз.
TEXT_UNIT_FLUFF_GW_EA_AAS,Большая гусеничная мобильная база была принята на территории администрации Эриаду в качестве мобильного командного центра, что позволяет командирам держать свои командные пункты близко к линии фронта. Учитывая, что задача командного центра означает, что они обрабатывают большой объем данных в реальном времени о текущем поле боя, эти машины также могут стать отличным координационным пунктом артиллерии. Таким образом, командиры армии Эриаду часто берут с собой несколько артиллерийских орудий вместе со своими базами, чтобы дать командиру возможность мгновенно влиять на события на поле боя, не дожидаясь движения войск или способностей своих подчиненных. Зная, что эти машины являются ценными целями для любых воздушных ударов противника, ПТ-АА также часто обеспечивают сопровождение небольшой группы управления.
TEXT_UNIT_FLUFF_GW_EA_AAT,Рота специальных миссий была формированием, обозначенным Боевым порядком Имперской армии, разработанным во времена Империи. Несмотря на потрясения, вызванные распадом Империи после смерти Палпатина, Власть Эриаду сохранила способность создавать и развертывать эти стандартные формирования специальных сил. 64-Y санные спидеры расширенного разведывательного взвода гарантируют, что рота имеет большие возможности для разведки и обнаружения слабых мест для нападения трех армейских специальных взводов.
TEXT_UNIT_FLUFF_GW_EA_AAU,Когда армейская рота специальных миссий ожидала столкнуться с сильным сопротивлением, стандартный боевой порядок разрешал подчинить и присоединить к роте множество других активов, чтобы гарантировать, что она способна выполнить свою миссию. Солдаты регулярной армии обеспечивают массированную атаку пехоты, а артиллерийские платформы обеспечивают смертоносный огонь на больших дистанциях. Имперские репульсорные танки 1-L и 1-M способны быстро реагировать на любые угрозы, исходящие от Компании, и справляться с любыми возникающими угрозами, связанными с транспортными средствами.
TEXT_UNIT_FLUFF_GW_EOTH_AAA,Члены Домашней Фаланги Синдика Митт'рау'нуруодо присоединились к нему в формировании Империи Руки, подкрепленной дополнительными чиссскими подкреплениями из Доминирования. Эти солдаты составляют основную часть надводных сил Руки, используемых в первую очередь для поддержания порядка в входящих в нее мирах или для подавления организованного сопротивления. Вооруженные в основном карабинами «Чаррик» и имперским тяжелым вооружением, они дополнены медицинским отрядом, чтобы свести к минимуму травмы на передовой.
TEXT_UNIT_FLUFF_GW_EOTH_AAB,Будучи по своей природе имперской организацией, Империя Руки создаст свой собственный Корпус штурмовиков, используя как рекрутов из Империи, так и местные виды, зачисленные в их ряды. Являясь элитной силой в наследии таких организаций, как 501-й легион, эти штурмовики лучше всего используются в качестве целенаправленных противопехотных отрядов или диверсантов в городских условиях.
TEXT_UNIT_FLUFF_GW_EOTH_AAC,Собственный звуковой ходок Руки представляет собой эволюцию старых шагоходов, таких как AT-PT, которые все еще находились на службе Империи. Его можно использовать как в качестве передового шагохода-разведчика, так и в качестве специальной противопехотной поддержки с помощью многозарядных звуковых пушек. Эти звуковые пушки позволяют шагоходу подавлять вражескую пехоту, не повреждая ценную инфраструктуру, полезную для Руки, чтобы сохранить контроль над Неизведанными Регионами.
TEXT_UNIT_FLUFF_GW_EOTH_AAD,Подаренный одним из местных видов, связанных с Империей Руки, A-Rack представляет собой легкое транспортное средство, предназначенное для быстрого перемещения нескольких отрядов пехоты. Хотя большая часть наземных сил Длани основана на репульсорах, скорость и гибкость А-стойки сделали ее ценной частью наземных сил Длани. Солдаты-фаланги могут использовать их для быстрого переброски в любое место на поле боя и взятия на себя передового контроля над спорными территориями, прежде чем противник сможет их захватить и укрепить. Стойки A могут продолжать поддерживать передовые фаланги или передислоцироваться для привлечения большего количества пехоты по мере необходимости.
TEXT_UNIT_FLUFF_GW_EOTH_AAE,При вводе в эксплуатацию в армии Руки A-стойка будет преобразована из оригинальной верхней противотранспортной пушки в E-Web. Штурмовики-коммандос использовали это во время вторжений в города, чтобы отогнать вражескую пехоту, например, во время осады Кетхолда. Высококвалифицированные штурмовики Империи Руки могли эффективно использовать эти А-стойки для захвата ключевых точек поля боя во время таких сражений.
TEXT_UNIT_FLUFF_GW_EOTH_AAF,2-M Cheri из Empire of Hand — это естественная эволюция Имперского репульсорного танка 2-M, служащая быстрым мобильным комплексом брони для контроля на поле боя. Экспедиционные силы Пачского управления включают в себя тяжелые ракетные танки, которые, хотя и медленные, способны обрушить сильный шквал огня сотрясающими ракетами. В совокупности эти два средства способны прикрыть практически все виды враждебных столкновений при наземных вторжениях.
TEXT_UNIT_FLUFF_GW_EOTH_AAG,В ситуациях, когда репульсорные транспортные средства непригодны, Империя Руки готова полагаться на свои гусеничные и ножные машины вместе с поддерживающей пехотой. O-MP-AI, родом из Chiss Ascendancy, представляет собой гусеничную боевую машину пехоты, которая в сочетании с собственным звуковым ходунком Руки способна уничтожить любые массовые силы пехоты. Штурмовики-коммандос объединяются с ними в качестве вспомогательных средств, чтобы обеспечить контроль над тактическими позициями и дополнительную огневую мощь.
TEXT_UNIT_FLUFF_GW_EOTH_AAH,Бои на передовой в Неизвестных регионах зачастую хаотичны, что приводит к постоянным требованиям поддержки и смене боевых приоритетов на месте. Entoli LAV компании Hand способен поддерживать пехоту на передовой и разворачивать башню из установленного сверху пакета MDU, что придает ему гибкость практически против любых препятствий на поле боя. E-PO-AA в качестве основного средства ПВО «Дуки» прикреплены к ним, чтобы не дать вражеской авиации беспокоить LAV Энтоли, когда они разворачивают свои турели.
TEXT_UNIT_FLUFF_GW_EOTH_AAI,AirStraeker — одна из лучших машин Доминирования чиссов, впечатляюще быстрая и обладающая достаточной огневой мощью, чтобы серьезно повредить практически любое транспортное средство при обстреле. В сочетании с экспедиционными боевыми кораблями Гарвианского Единства они оба могут сеять хаос среди врагов. Гарвианские боевые корабли, хотя и медленнее, чем ЭйрСтрекеры, имеют удивительно мощные бластерные пушки для летательного аппарата, и все, что ЭйрСтрекеры не могут прикончить, наверняка находится прямо позади них.
TEXT_UNIT_FLUFF_GW_EOTH_AAJ,Передовая артиллерия Руки — это репульсорный корабль V-PO-Artillery, способный дислоцироваться практически в любом месте поля боя. Он используется вместе с союзными скифами «Паатаатус» и основным десантником-фалангой в качестве передовых корректировщиков и средства сдерживания вражеской пехоты.
